id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2020-01-03T16:00:16;12617;25834
2;Miguel;Kling;Lynn.Buckridge@gmail.com;Wooden withdrawal;2020-01-03T11:00:36;9385;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2020-01-03T13:09:38;90233;71649
4;Meredith;O'Hara;Deonte34@yahoo.com;Berkshire reinvent;2020-01-03T05:54:03;37356;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;2020-01-03T21:17:09;54263;80529
6;Unique;MacGyver;Jensen13@gmail.com;Music pink;2020-01-03T08:39:15;95916;18581
7;Myrtice;O'Hara;Imogene95@yahoo.com;calculate Concrete Soap;2020-01-03T11:35:47;95498;15970
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2020-01-03T01:38:26;43151;12407
9;Edwin;Abshire;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2020-01-03T04:28:02;69929;43322
10;Casey;Schinner;Yasmine24@yahoo.com;e-business;2020-01-03T05:10:27;601;74069
